# Settlement label points — where the map draws a settlement's dot (§6D TEL-5).
#
# Generated by build_settlement_points.py: OpenStreetMap place nodes (ODbL) assigned
# to the election office's settlement boundaries by point-in-polygon. The basemap
# prints each settlement's name at this exact point, so the dot and the label agree.
# `id` is the office's own "<maz>/<taz>"; `name` is its spelling, and the loader
# falls back to it when an election renumbers the ids. Do not hand-edit: re-run the
# script.
id,name,lat,lon,osm_node,place
02/012,Babarcszőlős,45.89948,18.13641,353818046,village
02/013,Bakonya,46.08529,18.08047,352715969,village
02/014,Bakóca,46.20721,17.99977,354564234,village
02/015,Baksa,45.9595,18.09504,353818026,village
02/016,Baranyahídvég,45.84618,18.0238,353817991,village
02/017,Baranyajenő,46.27083,18.04339,353819666,village
02/018,Baranyaszentgyörgy,46.24407,18.01542,353819656,village
02/019,Basal,46.07421,17.78234,353819624,village
02/020,Bánfa,45.99598,17.88104,349084609,village
02/021,Bár,46.05181,18.71725,353819854,village
02/022,Belvárdgyula,45.97295,18.43274,20930780,village
02/023,Beremend,45.78471,18.43456,353819758,village
02/024,Berkesd,46.07616,18.40853,353819800,village
02/025,Besence,45.89525,17.96635,353817961,village
02/026,Bezedek,45.86688,18.58716,353819783,village
02/027,Bicsérd,46.02256,18.08155,342179563,village
02/028,Bikal,46.3344,18.28659,18681024,village
02/029,Birján,45.99748,18.37568,20937651,village
02/030,Bisse,45.90776,18.25923,353819698,village
02/031,Boda,46.08086,18.04783,349055876,village
02/032,Bodolyabér,46.19788,18.1186,280243092,village
02/033,Bogád,46.08393,18.32219,21495796,village
02/034,Bogádmindszent,45.90633,18.04519,353818017,village
02/035,Bogdása,45.87392,17.78954,353817917,village
02/036,Boldogasszonyfa,46.17943,17.83812,331850062,village
02/037,Borjád,45.93532,18.46836,337366750,village
02/038,Bosta,45.94965,18.21099,339137833,village
02/039,Botykapeterd,46.04888,17.86709,349101996,village
02/040,Bóly,45.96928,18.51615,21495982,town
02/041,Bükkösd,46.10976,17.99601,347332850,village
02/042,Bürüs,45.9643,17.7595,353817949,village
02/043,Csarnóta,45.89432,18.21906,353819703,village
02/044,Csányoszró,45.88122,17.90745,353817936,village
02/045,Csebény,46.18883,17.92504,353819644,village
02/046,Cserdi,46.08122,17.99068,18328418,village
02/047,Cserkút,46.07867,18.1371,348239739,village
02/048,Csertő,46.09034,17.80278,25926052,village
02/049,Csonkamindszent,46.05199,17.96648,349061021,village
02/050,Cún,45.81238,18.06727,353818001,village
02/051,Dencsháza,45.99475,17.83461,349938880,village
02/052,Dinnyeberki,46.09723,17.95636,353819637,village
02/053,Diósviszló,45.87638,18.16413,353819717,village
02/054,Drávacsehi,45.81104,18.16655,353819719,village
02/055,Drávacsepely,45.82846,18.13662,353819723,village
02/056,Drávafok,45.88498,17.7637,255557393,village
02/057,Drávaiványi,45.84676,17.81813,353817919,village
02/058,Drávakeresztúr,45.83941,17.75876,353817908,village
02/059,Drávapalkonya,45.80347,18.17972,353819730,village
02/060,Drávapiski,45.84002,18.10057,353818011,village
02/061,Drávaszabolcs,45.80459,18.21289,410451741,village
02/062,Drávaszerdahely,45.83634,18.16358,410447850,village
02/063,Drávasztára,45.82562,17.82273,353817921,village
02/064,Dunaszekcső,46.08492,18.75974,337374272,village
02/065,Egerág,45.98148,18.30488,18330958,village
02/066,Egyházasharaszti,45.8093,18.33432,353819740,village
02/067,Egyházaskozár,46.32984,18.32078,18680992,village
02/068,Ellend,46.05911,18.37582,21495793,village
02/069,Endrőc,45.92655,17.76912,353817947,village
02/070,Erdősmárok,46.05607,18.54603,310003046,village
02/071,Erdősmecske,46.17272,18.51359,310000347,village
02/072,Erzsébet,46.10066,18.45863,353819840,village
02/073,Fazekasboda,46.12297,18.48467,310003721,village
02/074,Feked,46.16095,18.55991,310000764,village
02/075,Felsőegerszeg,46.25382,18.13377,279166334,village
02/076,Felsőszentmárton,45.85227,17.70546,353817905,village
02/077,Garé,45.91875,18.19415,353819695,village
02/078,Gerde,45.99161,18.02552,347509462,village
02/079,Geresdlak,46.10831,18.527,310003266,village
02/080,Gerényes,46.30543,18.18492,279166261,village
02/081,Gilvánfa,45.91882,17.96093,353817965,village
02/082,Gordisa,45.79796,18.23539,410450151,village
02/083,Gödre,46.28636,17.97266,353819662,village
02/084,Görcsöny,45.96961,18.13543,353818051,village
02/085,Görcsönydoboka,46.0708,18.62739,310002168,village
02/086,Gyód,46.00169,18.17818,349943566,village
02/087,Gyöngyfa,45.96083,17.95258,353817971,village
02/088,Gyöngyösmellék,45.98684,17.7021,353817895,village
02/089,Harkány,45.84779,18.236,20938029,town
02/090,Hásságy,46.03464,18.38863,20937652,village
02/091,Hegyhátmaróc,46.31137,18.33639,279164655,village
02/092,Hegyszentmárton,45.90372,18.0903,353818038,village
02/093,Helesfa,46.08831,17.97721,347338988,village
02/094,Hetvehely,46.13215,18.04415,16769958,village
02/095,Hidas,46.25953,18.49775,353819832,village
02/096,Himesháza,46.08594,18.56983,310001314,village
02/097,Hirics,45.82614,17.99361,353817956,village
02/098,Hobol,46.02432,17.77743,28837560,village
02/099,Homorúd,45.98483,18.78798,353819860,village
02/100,Horváthertelend,46.17687,17.92752,353819640,village
02/101,Hosszúhetény,46.1613,18.35277,351450348,village
02/102,Husztót,46.17199,18.0927,25925427,village
02/103,Ibafa,46.15494,17.91718,353819631,village
02/104,Illocska,45.80077,18.52227,353819752,village
02/105,Ipacsfa,45.83431,18.20461,353819732,village
02/106,Ivánbattyán,45.90757,18.41797,353819761,village
02/107,Ivándárda,45.83291,18.59043,353819772,village
02/108,Kacsóta,46.03767,17.95706,349062839,village
02/109,Katádfa,45.99821,17.86958,349082686,village
02/110,Kákics,45.90309,17.85747,353817941,village
02/111,Kárász,46.26637,18.31764,18680896,village
02/112,Kásád,45.77845,18.40061,353819733,village
02/113,Kátoly,46.06113,18.45099,353819796,village
02/114,Kemse,45.82325,17.9125,353817926,village
02/115,Keszü,46.01696,18.19181,20938027,village
02/116,Kékesd,46.10098,18.47271,353819843,village
02/117,Kémes,45.826,18.10073,410447015,village
02/118,Kétújfalu,45.96345,17.71205,3390978737,village
02/119,Királyegyháza,45.99688,17.96865,347521466,village
02/120,Kisasszonyfa,45.94665,18.0075,353817980,village
02/121,Kisbeszterce,46.20578,18.03443,354568165,village
02/122,Kisbudmér,45.91315,18.4469,353819846,village
02/123,Kisdér,45.93984,18.12805,353818034,village
02/124,Kisdobsza,46.0319,17.65452,353817890,village
02/125,Kishajmás,46.20063,18.08228,18330366,village
02/126,Kisharsány,45.85978,18.36401,353819742,village
02/127,Kisherend,45.96332,18.3319,18331010,village
02/128,Kisjakabfalva,45.89531,18.43563,353819775,village
02/129,Kiskassa,45.95322,18.39745,353818072,village
02/130,Kislippó,45.82934,18.5349,353819764,village
02/131,Kisnyárád,46.03649,18.5648,353819815,village
02/132,Kisszentmárton,45.82392,18.02369,353817994,village
02/133,Kistamási,46.01094,17.72158,353817898,village
02/134,Kistapolca,45.82215,18.38408,353819748,village
02/135,Kistótfalu,45.90854,18.31142,353819709,village
02/136,Kisvaszar,46.27547,18.21206,280079604,village
02/137,Komló,46.19117,18.26138,18331125,town
02/138,Kovácshida,45.83373,18.18105,410448316,village
02/139,Kovácsszénája,46.1721,18.10928,479920765,village
02/140,Kozármisleny,46.04782,18.2857,21495636,town
02/141,Kórós,45.86684,18.08188,353818014,village
02/142,Köblény,46.29529,18.30247,353819865,village
02/143,Kökény,46.00104,18.20429,20938028,village
02/144,Kölked,45.94824,18.70313,408909542,village
02/145,Kővágószőlős,46.08297,18.12507,352706051,village
02/146,Kővágótöttös,46.08426,18.10031,352724272,village
02/147,Lapáncsa,45.81915,18.49651,353819755,village
02/148,Lánycsók,46.00482,18.62361,353819813,village
02/149,Liget,46.23612,18.19132,280082885,village
02/150,Lippó,45.86458,18.57091,353819769,village
02/151,Liptód,46.04619,18.51566,353819819,village
02/152,Lothárd,46.00098,18.35313,20937609,village
02/153,Lovászhetény,46.15761,18.47531,309999969,village
02/154,Lúzsok,45.83782,17.94353,353817932,village
02/155,Magyarbóly,45.84039,18.49175,353819767,village
02/156,Magyaregregy,46.25101,18.30827,281001648,village
02/157,Magyarhertelend,46.18924,18.15154,352963160,village
02/158,Magyarlukafa,46.16765,17.75695,353817875,village
02/159,Magyarmecske,45.9449,17.96422,353817968,village
02/160,Magyarsarlós,46.04148,18.35161,20937672,village
02/161,Magyarszék,46.19566,18.19639,280243345,village
02/162,Magyartelek,45.94484,17.98335,353817978,village
02/163,Majs,45.90873,18.6003,353819782,village
02/164,Maráza,46.07506,18.51359,310003382,village
02/165,Markóc,45.86313,17.76267,353817910,village
02/166,Marócsa,45.91472,17.81482,353817944,village
02/167,Martonfa,46.11633,18.37307,353819836,village
02/168,Matty,45.7934,18.26331,353819725,village
02/169,Mágocs,46.34983,18.22859,29530538,town
02/170,Mánfa,46.16145,18.24095,1810157292,village
02/171,Márfa,45.85888,18.18562,353819713,village
02/172,Máriakéménd,46.02899,18.46231,353819810,village
02/173,Márok,45.87809,18.5045,353819763,village
02/174,Máza,46.27304,18.39814,281000823,village
02/175,Mecseknádasd,46.22441,18.46452,353819831,village
02/176,Mecsekpölöske,46.22286,18.21112,27318580,village
02/177,Mekényes,46.38942,18.33363,353819851,village
02/178,Merenye,46.06974,17.69848,353817882,village
02/179,Meződ,46.28852,18.10215,353819866,village
02/180,Mindszentgodisa,46.2295,18.07309,353819670,village
02/181,Mohács,45.99338,18.68211,416984891,town
02/182,Molvány,46.02845,17.7455,353817900,village
02/183,Monyoród,46.01028,18.47715,353819793,village
02/184,Mozsgó,46.1141,17.84456,353819627,village
02/185,Nagybudmér,45.93652,18.44487,353819858,village
02/186,Nagycsány,45.87091,17.94382,353817938,village
02/187,Nagydobsza,46.03398,17.66552,353817889,village
02/188,Nagyhajmás,46.37434,18.2892,353819845,village
02/189,Nagyharsány,45.84742,18.39983,353819757,village
02/190,Nagykozár,46.06558,18.31972,338249302,village
02/191,Nagynyárád,45.94494,18.57843,337371944,village
02/192,Nagypall,46.14477,18.45724,310003771,village
02/193,Nagypeterd,46.04577,17.89513,349102533,village
02/194,Nagytótfalu,45.8631,18.34358,353819750,village
02/195,Nagyváty,46.05992,17.93159,349106338,village
02/196,Nemeske,46.02054,17.71547,353817896,village
02/197,Nyugotszenterzsébet,46.07612,17.91094,349098824,village
02/198,Okorág,45.92712,17.8777,353819862,village
02/199,Okorvölgy,46.15206,18.05892,25924908,village
02/200,Olasz,46.01516,18.4118,20930660,village
02/201,Old,45.78888,18.35175,353819738,village
02/202,Orfű,46.13806,18.1552,21495236,village
02/203,Oroszló,46.22132,18.12149,353819680,village
02/204,Óbánya,46.22046,18.41142,353819829,village
02/205,Ócsárd,45.93471,18.1515,353818048,village
02/206,Ófalu,46.22082,18.53018,353819856,village
02/207,Ózdfalu,45.92896,18.022,353817982,village
02/208,Palé,46.26202,18.0747,353819674,village
02/209,Palkonya,45.89533,18.39078,17502311,village
02/210,Palotabozsok,46.12883,18.64096,310001985,village
02/211,Patapoklosi,46.0734,17.74813,353817884,village
02/212,Páprád,45.89267,18.01062,353817985,village
02/213,Pellérd,46.03486,18.1533,540584934,village
02/214,Pereked,46.09301,18.37317,353819803,village
02/215,Peterd,45.97182,18.36242,353818066,village
02/216,Pettend,46.00061,17.69993,353817892,village
02/217,Pécs,46.07651,18.22803,17550787,city
02/218,Pécsbagota,45.99087,18.07303,347507956,village
02/219,Pécsdevecser,45.95926,18.38336,353818069,village
02/220,Pécsudvard,46.01394,18.27395,353713032,village
02/221,Pécsvárad,46.16084,18.42069,286998160,town
02/222,Piskó,45.81055,17.93522,353817929,village
02/223,Pogány,45.98411,18.26047,353818061,village
02/224,Pócsa,45.90941,18.47042,337362336,village
02/225,Rádfalva,45.86065,18.12426,353819705,village
02/226,Regenye,45.96965,18.16954,410476478,village
02/227,Romonya,46.08851,18.33965,21495794,village
02/228,Rózsafa,46.02258,17.88934,349087922,village
02/229,Sámod,45.8547,18.03715,353817988,village
02/230,Sárok,45.84125,18.61268,353819770,village
02/231,Sásd,46.25596,18.10656,279166299,town
02/232,Sátorhely,45.94147,18.63178,353819776,village
02/233,Sellye,45.87354,17.85141,286997942,town
02/234,Siklós,45.85214,18.29838,26234773,town
02/235,Siklósbodony,45.91155,18.12261,353818042,village
02/236,Siklósnagyfalu,45.82009,18.36345,353819736,village
02/237,Somberek,46.08096,18.66055,310002724,village
02/238,Somogyapáti,46.09244,17.75079,15370125,village
02/239,Somogyhatvan,46.10961,17.71308,353817880,village
02/240,Somogyhárságy,46.16031,17.77328,353817877,village
02/241,Somogyviszló,46.11267,17.76496,353819620,village
02/242,Sósvertike,45.8354,17.86171,353817923,village
02/243,Sumony,45.96962,17.91662,353817973,village
02/244,Szabadszentkirály,46.00634,18.04212,347508382,village
02/245,Szajk,45.99182,18.53293,353819786,village
02/246,Szalatnak,46.28977,18.2816,353819849,village
02/247,Szalánta,45.94732,18.2374,339137947,village
02/248,Szaporca,45.81366,18.10702,353818003,village
02/249,Szava,45.90222,18.17651,353819691,village
02/250,Szágy,46.22179,17.94661,353819648,village
02/251,Szárász,46.34883,18.37255,279163542,village
02/252,Szászvár,46.27366,18.3778,281000809,village
02/253,Szebény,46.13106,18.58697,310001025,village
02/254,Szederkény,45.99946,18.45358,21495979,village
02/255,Szellő,46.0738,18.46092,353819807,village
02/256,Szemely,46.00881,18.32696,353725030,village
02/257,Szentdénes,46.00749,17.92831,349077063,village
02/258,Szentegát,45.97766,17.82374,349938941,village
02/259,Szentkatalin,46.17458,18.05012,25924962,village
02/260,Szentlászló,46.15731,17.83635,353819630,village
02/261,Szentlőrinc,46.04156,17.98891,286996950,town
02/262,Székelyszabar,46.04366,18.60558,310002996,village
02/263,Szigetvár,46.04744,17.79935,355204110,town
02/264,Szilágy,46.10204,18.40608,353819838,village
02/265,Szilvás,45.96169,18.20038,353819683,village
02/266,Szörény,45.96824,17.68269,353817902,village
02/267,Szőke,45.96057,18.18694,353819687,village
02/268,Szőkéd,45.96294,18.28896,18330973,village
02/269,Szulimán,46.12426,17.81053,25926053,village
02/270,Szűr,46.09921,18.58071,310001180,village
02/271,Tarrós,46.28131,18.14201,279166207,village
02/272,Teklafalu,45.94974,17.72827,28837834,village
02/273,Tengeri,45.92638,18.08836,353818030,village
02/274,Tékes,46.28687,18.1744,280078262,village
02/275,Tésenfa,45.81293,18.11809,353818006,village
02/276,Téseny,45.94915,18.04898,353818021,village
02/277,Tormás,46.22914,17.99054,353819652,village
02/278,Tófű,46.30957,18.35897,18680967,village
02/279,Tótszentgyörgy,46.05233,17.71792,353817886,village
02/280,Töttös,45.91463,18.54139,337369618,village
02/281,Túrony,45.90383,18.23178,339140270,village
02/282,Udvar,45.90201,18.65989,353819779,village
02/283,Újpetre,45.93555,18.36331,32433322,village
02/284,Vajszló,45.8593,17.98375,353817958,village
02/285,Varga,46.24718,18.14497,279166549,village
02/286,Várad,45.97443,17.74577,353817952,village
02/287,Vásárosbéc,46.18057,17.7254,353817873,village
02/288,Vásárosdombó,46.30555,18.13226,21516692,village
02/289,Vázsnok,46.26552,18.12492,353819868,village
02/290,Vejti,45.80999,17.96482,353817930,village
02/291,Velény,45.98034,18.0494,353818023,village
02/292,Versend,45.99453,18.51355,353819790,village
02/293,Vékény,46.26963,18.34199,353819863,village
02/294,Véménd,46.15692,18.61726,310001537,village
02/295,Villány,45.86976,18.45552,17502356,town
02/296,Villánykövesd,45.88058,18.42525,17502338,village
02/297,Vokány,45.91148,18.3362,353819745,village
02/298,Zaláta,45.80999,17.89022,353817925,village
02/299,Zádor,45.96057,17.65942,255555583,village
02/300,Zengővárkony,46.17346,18.43115,353819823,village
02/301,Zók,46.01183,18.09826,342171699,village
03/001,Akasztó,46.69098,19.20635,287000830,village
03/002,Apostag,46.88324,18.96734,274957264,village
03/003,Ágasegyháza,46.84024,19.44684,354621880,village
03/004,Baja,46.17855,18.95173,287001980,town
03/005,Ballószög,46.86055,19.56958,354621877,village
03/006,Balotaszállás,46.35101,19.53618,411796727,village
03/007,Bácsalmás,46.12741,19.33191,287003234,town
03/008,Bácsbokod,46.12402,19.15582,354621848,village
03/009,Bácsborsód,46.0974,19.1584,354621847,village
03/010,Bácsszentgyörgy,45.97475,19.03976,354621843,village
03/011,Bácsszőlős,46.13523,19.42125,354621853,village
03/012,Bátmonostor,46.10479,18.92792,354621834,village
03/013,Bátya,46.48742,18.95452,330880951,village
03/014,Borota,46.26568,19.22317,354621828,village
03/015,Bócsa,46.61387,19.48198,354621896,village
03/016,Bugac,46.6889,19.68214,354621868,village
03/017,Bugacpusztaháza,46.70108,19.63581,354621869,village
03/018,Császártöltés,46.42298,19.17849,287001490,village
03/019,Csátalja,46.03653,18.94461,354621838,village
03/020,Csávoly,46.19438,19.1441,290611078,village
03/021,Csengőd,46.71609,19.26757,289122198,village
03/022,Csikéria,46.1262,19.47156,354621851,village
03/023,Csólyospálos,46.41861,19.83876,354621859,village
03/024,Dávod,45.99713,18.92052,354621840,village
03/025,Drágszél,46.46716,19.03868,288448034,village
03/026,Dunaegyháza,46.83992,18.95646,288068899,village
03/027,Dunafalva,46.08385,18.77255,337375570,village
03/028,Dunapataj,46.64428,18.99901,76675061,village
03/029,Dunaszentbenedek,46.59387,18.8944,288715142,village
03/030,Dunatetétlen,46.75672,19.09417,354621821,village
03/031,Dunavecse,46.91637,18.97165,274355674,town
03/032,Dusnok,46.39002,18.95896,354621832,village
03/033,Érsekcsanád,46.25198,18.98226,354621830,village
03/034,Érsekhalma,46.34801,19.12368,305194766,village
03/035,Fajsz,46.41615,18.92197,288385458,village
03/036,Felsőlajos,47.06605,19.49591,354621894,village
03/037,Felsőszentiván,46.19476,19.18816,287002901,village
03/038,Foktő,46.52901,18.91929,288714768,village
03/039,Fülöpháza,46.89229,19.44485,354621878,village
03/040,Fülöpjakab,46.74199,19.72253,354621871,village
03/041,Fülöpszállás,46.82014,19.23956,289402301,village
03/042,Gara,46.03423,19.03869,354621839,village
03/043,Gátér,46.68353,19.95773,354621867,village
03/044,Géderlak,46.60852,18.91405,288695145,village
03/045,Hajós,46.3983,19.11722,287001534,town
03/046,Harkakötöny,46.46343,19.6075,354621858,village
03/047,Harta,46.69472,19.02771,354621823,village
03/048,Helvécia,46.83739,19.62128,354621876,village
03/049,Hercegszántó,45.9506,18.93584,354621842,village
03/050,Homokmégy,46.48799,19.07374,288447636,village
03/051,Imrehegy,46.48453,19.3037,354621825,village
03/052,Izsák,46.80092,19.35954,287000140,town
03/053,Jakabszállás,46.76149,19.60078,354621873,village
03/054,Jánoshalma,46.29723,19.32359,287003778,town
03/055,Jászszentlászló,46.56794,19.76032,354621863,village
03/056,Kalocsa,46.52303,18.9825,330880946,town
03/057,Kaskantyú,46.67146,19.38698,289121863,village
03/058,Katymár,46.03453,19.20987,354621845,village
03/059,Kecel,46.52377,19.25334,3252267072,town
03/060,Kecskemét,46.90754,19.69223,32443002,city
03/061,Kelebia,46.19711,19.60717,292825415,village
03/062,Kerekegyháza,46.93588,19.48251,286999754,town
03/063,Kéleshalom,46.36632,19.2794,354621829,village
03/064,Kiskőrös,46.62057,19.28436,287001052,town
03/065,Kiskunfélegyháza,46.71144,19.85016,287005902,town
03/066,Kiskunhalas,46.43045,19.48126,287004164,town
03/067,Kiskunmajsa,46.49062,19.73931,287005373,town
03/068,Kisszállás,46.28066,19.49126,290611413,village
03/069,Kömpöc,46.46388,19.86693,354621860,village
03/070,Kunadacs,46.9562,19.29455,354621885,village
03/071,Kunbaja,46.0883,19.42408,354621850,village
03/072,Kunbaracs,46.98932,19.40052,354621886,village
03/073,Kunfehértó,46.3624,19.41328,1320887321,village
03/074,Kunpeszér,47.06307,19.281,354621888,village
03/075,Kunszállás,46.76059,19.7524,354621872,village
03/076,Kunszentmiklós,47.02571,19.12349,274956814,town
03/077,Ladánybene,47.03502,19.45571,354621890,village
03/078,Lajosmizse,47.02647,19.55826,287007417,town
03/079,Lakitelek,46.87363,20.00037,287008275,village
03/080,Madaras,46.05713,19.25987,354621844,village
03/081,Mátételke,46.16505,19.2744,354621849,village
03/082,Mélykút,46.2152,19.37921,290611295,town
03/083,Miske,46.44236,19.03207,288447714,village
03/084,Móricgát,46.63317,19.66981,354621866,village
03/085,Nagybaracska,46.04295,18.90548,354621837,village
03/086,Nemesnádudvar,46.33921,19.05216,305194961,village
03/087,Nyárlőrinc,46.86052,19.87409,288190862,village
03/088,Ordas,46.63613,18.94932,288692162,village
03/089,Orgovány,46.7514,19.47602,354621881,village
03/090,Öregcsertő,46.51459,19.10689,354621824,village
03/091,Páhi,46.7131,19.3865,289404009,village
03/092,Pálmonostora,46.62641,19.94435,354621861,village
03/093,Petőfiszállás,46.62046,19.86146,354621862,village
03/094,Pirtó,46.51474,19.43196,295494997,village
03/095,Rém,46.24466,19.14483,354621826,village
03/096,Solt,46.80226,19.00464,76675056,town
03/097,Soltszentimre,46.77108,19.28691,289121413,village
03/098,Soltvadkert,46.58202,19.39427,287001106,town
03/099,Sükösd,46.28643,18.99582,288380549,village
03/100,Szabadszállás,46.87523,19.2225,287000079,town
03/101,Szakmár,46.5554,19.07593,288666350,village
03/102,Szalkszentmárton,46.97552,19.01329,32446633,village
03/103,Szank,46.55449,19.669,354621865,village
03/104,Szentkirály,46.91878,19.91807,354621883,village
03/105,Szeremle,46.1455,18.87957,354621833,village
03/106,Tabdi,46.68466,19.30772,289122294,village
03/107,Tass,47.02005,19.03218,32446634,village
03/108,Tataháza,46.17534,19.30123,287003191,village
03/109,Tázlár,46.54905,19.51391,354621898,village
03/110,Tiszaalpár,46.82196,19.98931,354621882,village
03/111,Tiszakécske,46.93153,20.10454,287008438,town
03/112,Tiszaug,46.85169,20.05794,288198642,village
03/113,Tompa,46.20493,19.5374,287009799,town
03/114,Uszód,46.56979,18.90535,288709475,village
03/115,Újsolt,46.87317,19.12084,354621820,village
03/116,Újtelek,46.58908,19.05829,288448413,village
03/117,Vaskút,46.11157,18.98543,354621835,village
03/118,Városföld,46.81634,19.76017,815493432,village
03/119,Zsana,46.3799,19.66265,354621856,village
04/001,Almáskamarás,46.46274,21.08991,354700452,village
04/002,Battonya,46.28587,21.02189,286994582,town
04/003,Békés,46.77174,21.13259,286994834,town
04/004,Békéscsaba,46.6798,21.09854,32444521,city
04/005,Békéssámson,46.41596,20.62201,1234756918,village
04/006,Békésszentandrás,46.87171,20.48513,75716566,village
04/007,Bélmegyer,46.87201,21.17895,354700495,village
04/008,Biharugra,46.96891,21.59509,354700517,village
04/009,Bucsa,47.20425,20.99673,354700525,village
04/010,Csabacsűd,46.82498,20.65043,354700520,village
04/011,Csabaszabadi,46.57464,20.95317,354700468,village
04/012,Csanádapáca,46.5402,20.88461,354700470,village
04/013,Csárdaszállás,46.86548,20.93904,354700492,village
04/014,Csorvás,46.63041,20.83362,286990297,town
04/015,Dévaványa,47.03135,20.9621,286995352,town
04/016,Doboz,46.7344,21.24137,354700502,village
04/017,Dombegyház,46.34057,21.13202,354700437,village
04/018,Dombiratos,46.41962,21.11687,354700444,village
04/019,Ecsegfalva,47.14934,20.92283,354700522,village
04/020,Elek,46.52943,21.25261,286995507,town
04/021,Füzesgyarmat,47.10768,21.21185,286995833,town
04/022,Gádoros,46.67069,20.5996,354700489,village
04/023,Gerendás,46.59748,20.85769,354700472,village
04/024,Geszt,46.88218,21.58143,354700511,village
04/025,Gyomaendrőd,46.9358,20.82609,286990172,town
04/026,Gyula,46.64387,21.27476,32444954,town
04/027,Hunya,46.81195,20.8443,354700481,village
04/028,Kamut,46.76031,20.98328,354700482,village
04/029,Kardos,46.79689,20.71953,354700485,village
04/030,Kardoskút,46.49661,20.70151,354700457,village
04/031,Kaszaper,46.4578,20.82321,354700458,village
04/032,Kertészsziget,47.15466,21.0627,354700523,village
04/033,Kevermes,46.41721,21.18431,354700446,village
04/034,Kétegyháza,46.54554,21.18563,286995620,village
04/035,Kétsoprony,46.71918,20.88398,354700480,village
04/036,Kisdombegyház,46.37038,21.09871,354700439,village
04/037,Kondoros,46.75997,20.79506,75716773,town
04/038,Körösladány,46.96182,21.0774,286992616,town
04/039,Körösnagyharsány,47.00689,21.64328,354700518,village
04/040,Köröstarcsa,46.87682,21.0233,354700493,village
04/041,Körösújfalu,46.96097,21.39991,354700515,village
04/042,Kötegyán,46.7347,21.47905,354700504,village
04/043,Kunágota,46.42339,21.04898,31531669,village
04/044,Lőkösháza,46.42976,21.23072,354700447,village
04/045,Magyarbánhegyes,46.45526,20.96429,354700453,village
04/046,Magyardombegyház,46.37979,21.07222,354700442,village
04/047,Medgyesbodzás,46.51816,20.96016,354700465,village
04/048,Medgyesegyháza,46.49814,21.02809,354700463,town
04/049,Mezőberény,46.82403,21.02909,268205542,town
04/050,Mezőgyán,46.86972,21.52298,354700509,village
04/051,Mezőhegyes,46.31396,20.81941,286991190,town
04/052,Mezőkovácsháza,46.40734,20.9236,286991898,town
04/053,Méhkerék,46.77485,21.44918,354700507,village
04/054,Murony,46.76182,21.03896,354700483,village
04/055,Nagybánhegyes,46.45911,20.90175,354700462,village
04/056,Nagykamarás,46.47342,21.11569,354700450,village
04/057,Nagyszénás,46.6715,20.67275,2391205753,village
